nohup: ignoring input
🐈 Starting nanobot gateway on port 18790...
2026-02-07 12:07:04.652 | INFO     | nanobot.channels.manager:_init_channels:44 - Telegram channel enabled
✓ Channels enabled: telegram
✓ Heartbeat: every 30m
2026-02-07 12:07:04.656 | INFO     | nanobot.cron.service:start:154 - Cron service started with 0 jobs
2026-02-07 12:07:04.656 | INFO     | nanobot.heartbeat.service:start:81 - Heartbeat started (every 1800s)
2026-02-07 12:07:04.657 | INFO     | nanobot.agent.loop:run:112 - Agent loop started
2026-02-07 12:07:04.657 | INFO     | nanobot.channels.manager:start_all:93 - Starting telegram channel...
2026-02-07 12:07:04.657 | INFO     | nanobot.channels.manager:_dispatch_outbound:121 - Outbound dispatcher started
2026-02-07 12:07:04.832 | INFO     | nanobot.channels.telegram:start:123 - Starting Telegram bot (polling mode)...
2026-02-07 12:07:05.041 | INFO     | nanobot.channels.telegram:start:131 - Telegram bot @SahLee_bot connected
2026-02-07 12:07:27.571 | DEBUG    | nanobot.channels.telegram:_on_message:274 - Telegram message from 5379690856: I am testing telegram connection...
2026-02-07 12:07:27.575 | INFO     | nanobot.agent.loop:_process_message:159 - Processing message from telegram:5379690856: I am testing telegram connection
2026-02-07 12:07:34.579 | INFO     | nanobot.agent.loop:_process_message:221 - Tool call: message({"content": "🧪 Telegram connection test - nanobot is working! This is a test message.", "chat_id": 5379690856, "channel": "telegram"})
2026-02-07 12:07:36.642 | INFO     | nanobot.agent.loop:_process_message:221 - Tool call: message({"content": "🧪 Telegram connection test - nanobot is working! This is a test message.", "chat_id": 5379690856, "channel": "telegram"})
2026-02-07 12:07:39.085 | INFO     | nanobot.agent.loop:_process_message:221 - Tool call: message({"chat_id": 5379690856, "content": "🧪 Telegram connection test - nanobot is working! This is a test message."})
2026-02-07 12:07:41.468 | INFO     | nanobot.agent.loop:_process_message:221 - Tool call: message({"content": "🧪 Telegram connection test - nanobot is working! This is a test message.", "chat_id": 5379690856})
2026-02-07 12:07:45.348 | INFO     | nanobot.agent.loop:_process_message:236 - Response to telegram:5379690856: I'm still getting the same error. Let me try to understand what's happening. The error says "chat_id should be string" b...
2026-02-07 12:08:11.058 | DEBUG    | nanobot.channels.telegram:_on_message:274 - Telegram message from 5379690856: You are replying I think it works wel...
2026-02-07 12:08:11.062 | INFO     | nanobot.agent.loop:_process_message:159 - Processing message from telegram:5379690856: You are replying I think it works wel
